Incident Number,Initial Call Type,Final Call Type,Responding Agency,Primary Responding Unit,Call Creation Time,First Dispatched Time,First Arrival Time,Clear Time,Priority,Call Creation Mechanism
15087127,PTRLCK,PATROL CHECK,SPD ,2S20  ,10:00.0,10:00.0,NULL,10:05.0,4,SELF 
15087164,FOLUP ,FOLLOW UP,SPD ,4S45  ,54:54.0,54:54.0,54:54.0,47:23.0,5,SELF 
15161242,DSPUT ,DISPUTE,SPD ,1S18  ,45:35.0,47:10.0,55:59.0,06:00.0,3,W911 
15161263,DSPUT ,DISPUTE,SPD ,1S12  ,01:01.0,39:30.0,44:59.0,47:50.0,3,E911 
15161305,TRSPS ,CRIMINAL TRESPASS,SPD ,2S21  ,43:59.0,53:03.0,59:34.0,20:15.0,3,PHONE
15161499,DOGAL ,DOG AT LARGE,SPD ,5C1   ,28:35.0,30:11.0,38:32.0,52:56.0,4,PHONE
15161570,ROB   ,HARASSMENT,SPD ,2S11  ,56:54.0,58:50.0,03:31.0,22:07.0,3,W911 
15161571,MVANO ,MOTOR VEH ACC NO INJURY,SPD ,      ,57:10.0,NULL,NULL,NULL,4,PHONE
15161713,ILGLCA,ILLEGAL CAMPING,SPD ,3S12  ,41:36.0,27:31.0,39:26.0,00:06.0,5,PHONE
15161714,DSRDSU,DISORDERLY SUBJECT,SPD ,3S12  ,42:26.0,43:55.0,45:41.0,01:26.0,3,PHONE
15161765,TRSPS ,CRIMINAL TRESPASS,SPD ,3S12  ,38:12.0,02:55.0,06:10.0,23:40.0,3,PHONE
15161824,TRSPS ,CRIMINAL TRESPASS,SPD ,3S21  ,46:19.0,52:43.0,58:34.0,10:38.0,3,PHONE
15161881,SUISUB,SUICIDAL SUBJECT,SPD ,3S21  ,50:09.0,52:05.0,56:19.0,24:42.0,3,PHONE
15161919,CHKWLF,CHECK WELFARE,SPD ,3S23  ,48:11.0,51:45.0,53:49.0,04:53.0,4,E911 
15161947,IPN   ,IN POSSESSION OF NARCOTICS,SPD ,3S21  ,15:58.0,05:47.0,13:43.0,26:15.0,4,PHONE
15161989,LOUDNO,LOUD NOISE,SPD ,1S18  ,53:20.0,27:35.0,56:13.0,06:26.0,4,PHONE
15162004,DSPUT ,DISPUTE,SPD ,3S22  ,20:38.0,32:18.0,42:33.0,55:12.0,3,E911 
15162007,SUSPVE,SUSPICIOUS VEHICLE,SPD ,1S11  ,24:20.0,17:15.0,NULL,17:32.0,9,PHONE
15162087,ILGLFR,ILLEGAL FIREWORKS,SPD ,1S18  ,38:20.0,12:27.0,14:55.0,19:05.0,5,PHONE
15162117,TRFSTP,PATROL CHECK,SPD ,1S21  ,57:48.0,57:48.0,57:48.0,15:01.0,4,SELF 
15162222,SUSPSU,SUSPICIOUS SUBJECT,SPD ,1S11  ,35:38.0,37:48.0,NULL,53:39.0,3,PHONE
15162255,SUBJDO,SUBJECT DOWN,SPD ,1S11  ,28:25.0,28:37.0,30:15.0,47:41.0,3,E911 
15162321,INCALL,INCOMPLETE CALL,SPD ,      ,35:12.0,NULL,NULL,NULL,3,E911 
15162325,ALMAUD,AUDIBLE ALARM,SPD ,2S11  ,50:26.0,04:06.0,04:06.0,08:27.0,4,PHONE
15162402,CHKWLF,CHECK WELFARE,SPD ,2S22  ,22:02.0,32:29.0,32:29.0,00:58.0,4,PHONE
15162413,CHKWLF,CHECK WELFARE,SPD ,3J81  ,41:42.0,04:08.0,29:09.0,43:56.0,4,PHONE
15162538,DSPUT ,DISPUTE,SPD ,2S21  ,25:18.0,19:43.0,22:29.0,38:53.0,4,E911 
15162559,DSPUT ,DISPUTE,SPD ,2S12  ,53:30.0,00:16.0,02:53.0,12:48.0,3,PHONE
15162679,THEFT ,THEFT,SPD ,      ,35:16.0,NULL,NULL,NULL,9,PHONE
15162768,SUBJDO,SUBJECT DOWN,SPD ,      ,41:37.0,NULL,NULL,NULL,3,PHONE
15162778,DSRDSU,DISORDERLY SUBJECT,SPD ,3S11  ,08:54.0,20:26.0,31:02.0,43:54.0,3,W911 
15162817,TRFSTP,DWS,SPD ,3S22  ,56:04.0,56:04.0,56:04.0,05:02.0,4,SELF 
15162866,SUSPSU,SUSPICIOUS SUBJECT,SPD ,3S13  ,48:00.0,53:42.0,56:26.0,12:26.0,3,PHONE
15162880,DSPUT ,DISPUTE,SPD ,3S22  ,58:28.0,00:27.0,08:44.0,19:19.0,3,PHONE
15162983,DSPUT ,DISPUTE,SPD ,      ,47:45.0,NULL,NULL,NULL,3,W911 
15163047,INCALL,INCOMPLETE CALL,SPD ,      ,10:37.0,NULL,NULL,NULL,3,E911 
15163048,DSPUT ,DISPUTE,SPD ,1S22  ,10:43.0,13:34.0,16:12.0,34:36.0,3,W911 
15163100,LOUDNO,LOUD NOISE,SPD ,1S22  ,30:58.0,46:57.0,55:05.0,59:40.0,5,PHONE
15163138,LOUDNO,LOUD NOISE,SPD ,1S22  ,14:13.0,17:43.0,21:25.0,26:23.0,5,PHONE
15163148,DSPUT ,DISPUTE,SPD ,1S22  ,30:11.0,32:20.0,36:57.0,48:16.0,3,W911 
15163209,ALMAUD,AUDIBLE ALARM,SPD ,2S12  ,24:30.0,27:20.0,31:38.0,36:21.0,3,PHONE
15163237,ILGLCA,ILLEGAL CAMPING,SPD ,2S21  ,35:25.0,22:28.0,29:33.0,41:16.0,5,PHONE
15163240,DSPUT ,DISPUTE,SPD ,2S22  ,41:49.0,46:10.0,54:15.0,08:49.0,3,PHONE
15163331,DSPUT ,DISPUTE,SPD ,2S12  ,41:59.0,44:42.0,47:15.0,58:03.0,3,PHONE
15163334,SUSPVE,SUSPICIOUS VEHICLE,SPD ,2S12  ,46:59.0,59:39.0,06:31.0,16:43.0,3,PHONE
15163426,ANICMP,ANIMAL COMPLAINT,SPD ,2S21  ,21:37.0,29:35.0,34:42.0,49:15.0,5,PHONE
15163460,ANICMP,ANIMAL COMPLAINT,SPD ,      ,59:44.0,NULL,NULL,NULL,5,PHONE
15163500,ILGLPK,ILLEGAL PARKING,SPD ,3S12  ,53:11.0,04:25.0,15:31.0,34:51.0,5,PHONE
15163527,INFO  ,INFORMATION- BOTH PD AND FD,SPD ,3S13  ,35:26.0,38:46.0,48:47.0,30:10.0,5,W911 
15163547,BURG  ,BURGLARY,SPD ,3S13  ,00:04.0,30:46.0,37:19.0,54:48.0,4,PHONE
15163553,TRFSTP,DWS,SPD ,2M1   ,07:14.0,07:14.0,07:14.0,12:55.0,4,SELF 
15163559,TRFSTP,DWS,SPD ,2M1   ,13:09.0,13:09.0,13:09.0,23:41.0,4,SELF 
15163573,LOUDNO,LOUD NOISE,SPD ,3S21  ,34:00.0,48:49.0,49:46.0,54:19.0,4,PHONE
15163580,SUSPVE,SUSPICIOUS VEHICLE,SPD ,3S21  ,39:03.0,50:39.0,52:37.0,59:34.0,3,PHONE
15163598,TRFSTP,TRAFFIC STOP,SPD ,3S23  ,10:40.0,10:40.0,10:40.0,22:30.0,6,SELF 
15106087,FORG  ,FORGERY,SPD ,SP628 ,57:14.0,03:35.0,03:35.0,04:47.0,4,PHONE
15106117,TRSPS ,CRIMINAL TRESPASS,SPD ,2S20  ,22:25.0,01:58.0,01:58.0,31:52.0,4,PHONE
15106125,DSRDJU,POLICE OFFICER HOLD,SPD ,2S11  ,33:07.0,43:06.0,50:02.0,51:16.0,4,PHONE
15106179,CHKWLF,CHECK WELFARE,SPD ,2S12  ,42:35.0,13:54.0,13:54.0,21:22.0,4,PHONE
15106199,MVANO ,MOTOR VEH ACC NO INJURY,SPD ,2M1   ,02:53.0,09:19.0,11:06.0,33:03.0,3,W911 
15106301,HARAS ,HARASSMENT,SPD ,3S11  ,02:26.0,00:37.0,04:54.0,05:11.0,4,PHONE
15106304,DSPUT ,DISPUTE,SPD ,3S23  ,03:51.0,13:02.0,17:12.0,54:53.0,3,W911 
15106366,RNWYJU,RUNAWAY JUVENILE,SPD ,SP688 ,10:13.0,11:09.0,11:09.0,13:54.0,9,PHONE
15106379,CHKWLF,CHECK WELFARE,SPD ,3S12  ,31:38.0,36:21.0,42:32.0,21:21.0,4,PHONE
15106407,THEFT ,THEFT,SPD ,SP689 ,48:52.0,NULL,NULL,48:52.0,4,RPTO 
15106413,ANICMP,ANIMAL COMPLAINT,SPD ,3S12  ,58:54.0,11:51.0,11:53.0,12:04.0,5,PHONE
15106442,THFTVE,THEFT,SPD ,3S23  ,34:35.0,43:57.0,50:42.0,28:20.0,4,PHONE
15106449,INCALL,INCOMPLETE CALL,SPD ,3S11  ,46:50.0,07:40.0,14:46.0,18:28.0,3,E911 
15106490,PERSTP,PERSON STOP,SPD ,2M1   ,39:20.0,39:20.0,39:20.0,43:44.0,6,SELF 
15106506,DSRDSU,DISORDERLY SUBJECT,SPD ,3S12  ,01:25.0,39:33.0,43:43.0,48:34.0,3,PHONE
15106624,DSPUT ,DISPUTE,SPD ,3S12  ,58:04.0,00:47.0,02:24.0,54:30.0,3,W911 
15106659,SUSPSU,SUSPICIOUS SUBJECT,SPD ,1S21  ,54:15.0,07:22.0,12:41.0,19:17.0,3,PHONE
15106664,DSPUT ,DISPUTE,SPD ,1S11  ,12:16.0,14:26.0,18:28.0,25:24.0,3,W911 
15106725,SUISUB,SUICIDAL SUBJECT,SPD ,1S18  ,41:10.0,58:42.0,03:23.0,08:01.0,3,W911 
15106760,UNKNPR,UNKNOWN PROBLEM,SPD ,1S12  ,32:24.0,34:09.0,39:30.0,05:19.0,3,W911 
15106769,VEHENT,UNLAWFUL VEHICLE ENTRY,SPD ,1S22  ,46:53.0,48:28.0,51:13.0,10:02.0,4,E911 
15106790,TRFSTP,TRAFFIC STOP,SPD ,3D1   ,15:19.0,15:19.0,15:19.0,30:34.0,6,SELF 
15106930,PERSTP,PERSON STOP,SPD ,3S31  ,25:12.0,25:12.0,25:12.0,29:01.0,6,SELF 
15106942,MENTSU,MENTAL TRANSPORT,SPD ,2S11  ,46:30.0,53:27.0,59:19.0,00:31.0,4,PHONE
15106953,FNDCON,FOUND CONTRABAND,SPD ,5C2   ,09:09.0,11:33.0,11:45.0,29:41.0,8,PHONE
15107013,THEFT ,THEFT,SPD ,SP687 ,58:11.0,00:24.0,00:24.0,00:58.0,9,PHONE
15107017,FRAUD ,FRAUD,SPD ,SP687 ,00:59.0,02:07.0,02:07.0,02:39.0,9,PHONE
15107050,THFTVE,THEFT FROM VEHICLE,SPD ,5C2   ,47:10.0,19:49.0,34:40.0,13:13.0,8,PHONE
15107116,SUISUB,OVERDOSE,SPD ,2S11  ,10:07.0,10:35.0,13:46.0,30:40.0,3,PHONE
15107157,CRMSCH,CRIMINAL MISCHIEF,SPD ,3S12  ,01:49.0,09:57.0,15:49.0,59:16.0,4,PHONE
15107196,HARAS ,HARASSMENT,SPD ,3S23  ,48:15.0,02:56.0,11:09.0,13:04.0,3,PHONE
15107232,VIORST,VIOLATION OF RESTRAINING ORDER,SPD ,3S21  ,45:01.0,11:32.0,17:28.0,54:30.0,4,PHONE
15107238,ILGLFR,CRIMINAL MISCHIEF,SPD ,3S11  ,58:03.0,06:50.0,09:37.0,17:47.0,4,PHONE
15107251,RNWYJU,RUNAWAY JUVENILE,SPD ,SP693 ,19:49.0,20:14.0,20:14.0,38:47.0,9,PHONE
15107284,INDEXP,INDECENT EXPOSURE,SPD ,3S22  ,15:01.0,18:10.0,20:58.0,31:28.0,3,PHONE
15107291,VIORST,VIOLATION OF RESTRAINING ORDER,SPD ,3S21  ,27:12.0,NULL,NULL,27:12.0,4,RPTO 
15107303,TRSPS ,CRIMINAL TRESPASS,SPD ,3S12  ,39:53.0,20:01.0,23:59.0,57:30.0,3,PHONE
15107379,CHKWLF,CHECK WELFARE,SPD ,3S12  ,30:00.0,37:18.0,41:04.0,10:11.0,4,PHONE
15107409,DSPUT ,DISPUTE,SPD ,3S11  ,40:39.0,43:34.0,49:29.0,05:05.0,3,PHONE
15107430,SUBSCR,SUBJECT SCREAMING,SPD ,1S18  ,47:48.0,48:46.0,54:34.0,04:34.0,3,PHONE
15107442,LOUDNO,LOUD NOISE,SPD ,1S21  ,30:40.0,33:09.0,37:10.0,46:05.0,4,PHONE
15107447,TRSPS ,CRIMINAL TRESPASS,SPD ,1S12  ,37:08.0,47:40.0,53:11.0,30:22.0,3,PHONE
15107452,DSPUT ,DISPUTE,SPD ,1S11  ,52:21.0,54:40.0,55:05.0,14:20.0,3,W911 
15107457,DSPUT ,DISPUTE,SPD ,1S11  ,13:03.0,13:36.0,19:36.0,56:37.0,3,E911 
15107468,LOUDNO,LOUD NOISE,SPD ,1S11  ,49:32.0,56:49.0,00:56.0,34:57.0,4,PHONE
15107509,IPN   ,IN POSSESSION OF NARCOTICS,SPD ,1S12  ,16:37.0,27:07.0,31:06.0,40:09.0,4,PHONE
15107529,CHKWLF,CHECK WELFARE,SPD ,1S12  ,39:33.0,42:13.0,45:21.0,49:18.0,4,PHONE
15107583,THFTGN,THEFT OF GUN,SPD ,5C2   ,48:19.0,56:22.0,12:29.0,39:27.0,8,PHONE
15107588,FNDPRO,FOUND PROPERTY,SPD ,5C2   ,53:50.0,42:13.0,50:19.0,08:53.0,8,PHONE
15107606,THFTBK,THEFT OF BICYCLE,SPD ,SP692 ,14:58.0,19:39.0,19:39.0,20:49.0,9,PHONE
15107608,FNDPRO,FOUND PROPERTY,SPD ,5C2   ,17:25.0,08:58.0,18:15.0,37:54.0,8,PHONE
15107610,ASLT  ,ASSAULT,SPD ,2S21  ,19:03.0,23:29.0,30:28.0,22:41.0,4,PHONE
15087170,PERSTP,PERSON STOP,SPD ,2M1   ,03:13.0,03:14.0,03:14.0,04:48.0,6,SELF 
15087218,MVANO ,MOTOR VEH ACC NO INJURY,SPD ,2S21  ,06:50.0,08:00.0,NULL,09:36.0,3,W911 
15087247,SUSPCO,SUSPICIOUS CONDITIONS,SPD ,      ,29:37.0,NULL,NULL,NULL,3,PHONE
15087266,REKDRI,RECKLESS DRIVING,SPD ,2S22  ,51:56.0,10:07.0,11:43.0,11:52.0,3,PHONE
15087279,PERSTP,PERSON STOP,SPD ,2S22  ,04:32.0,04:33.0,04:33.0,06:48.0,6,SELF 
15087321,DISVEH,DISABLED VEHICLE,SPD ,2M1   ,51:24.0,53:16.0,53:40.0,23:39.0,4,PHONE
15087333,SUSPCO,SUSPICIOUS CONDITIONS,SPD ,2S11  ,01:44.0,09:50.0,13:34.0,37:50.0,3,PHONE
15087365,DSPTFM,DISPUTE FAMILY,SPD ,2S11  ,37:59.0,39:24.0,46:08.0,43:02.0,3,W911 
15087443,FOLUP ,FOLLOW UP,SPD ,3S13  ,50:00.0,50:00.0,50:00.0,37:30.0,5,SELF 
15087472,DISVEH,DISABLED VEHICLE,SPD ,2M1   ,33:58.0,33:58.0,33:58.0,37:26.0,4,SELF 
15087491,CRMSCH,CRIMINAL MISCHIEF,SPD ,      ,52:41.0,NULL,NULL,NULL,4,PHONE
15087496,SPEDVE,SPEEDING VEHICLE,SPD ,3S21  ,59:10.0,40:00.0,NULL,48:20.0,4,W911 
15087556,LOUDNO,LOUD NOISE,SPD ,3S23  ,00:58.0,05:17.0,11:18.0,17:53.0,4,PHONE
15087568,TRFSIG,TRAFFIC SIGNAL MALFUNCTION,SPD ,      ,18:17.0,NULL,NULL,NULL,3,PHONE
15087581,DSRDJU,MINOR IN POSSESSION,SPD ,3S11  ,27:35.0,43:05.0,48:22.0,58:54.0,3,PHONE
15087594,ASTOUT,ASSIST OUTSIDE AGENCY,SPD ,3S23  ,42:46.0,46:37.0,57:25.0,33:09.0,4,PHONE
15087606,MVANO ,MOTOR VEH ACC NO INJURY,SPD ,3S11  ,59:15.0,01:03.0,04:17.0,13:11.0,3,E911 
15087616,RNWYJU,RUNAWAY JUVENILE,SPD ,      ,09:03.0,NULL,NULL,NULL,5,PHONE
15087626,WRGWAY,WRONG WAY DRIVER,SPD ,3S10  ,21:21.0,22:05.0,NULL,23:19.0,3,PHONE
15087632,ILGLBU,ILLEGAL BURNING,SPD ,      ,27:27.0,NULL,NULL,NULL,5,PHONE
15087633,DOGVIC,DOG VICIOUS,SPD ,      ,29:02.0,NULL,NULL,NULL,3,PHONE
15087641,TRSPS ,CRIMINAL TRESPASS,SPD ,      ,38:08.0,NULL,NULL,NULL,5,PHONE
15087663,DSPUT ,DISPUTE,SPD ,3S12  ,03:59.0,12:49.0,14:12.0,17:38.0,3,E911 
15087669,TRAN  ,TRANSPORT,SPD ,3S13  ,10:57.0,21:02.0,21:05.0,54:30.0,5,PHONE
15087718,SUISUB,SUICIDAL SUBJECT,SPD ,3J81  ,43:28.0,44:14.0,45:56.0,54:12.0,3,PHONE
15087727,WARSER,WARRANT SERVICE,SPD ,SP602 ,55:07.0,55:07.0,55:07.0,52:50.0,4,SELF 
15087791,ALARM ,ALARM,SPD ,      ,23:16.0,NULL,NULL,NULL,3,PHONE
15087804,ATLDRK,ATTEMPT TO LOCATE DRUNK DRIVER,SPD ,3S21  ,49:26.0,52:35.0,NULL,58:13.0,3,W911 
15087844,SUSPCO,SUSPICIOUS CONDITIONS,SPD ,1S18  ,28:21.0,40:45.0,43:14.0,48:43.0,3,PHONE
15087851,DISVEH,DISABLED VEHICLE,SPD ,1S11  ,39:12.0,39:12.0,39:12.0,41:09.0,4,SELF 
15087879,SUSPSU,SUSPICIOUS SUBJECT,SPD ,1S11  ,07:00.0,14:22.0,17:26.0,18:16.0,3,PHONE
15087932,ASTOUT,ASSIST OUTSIDE AGENCY,SPD ,1S18  ,09:54.0,10:51.0,28:30.0,31:08.0,4,PHONE
15087950,PROWLR,PROWLER,SPD ,3S12  ,51:50.0,53:12.0,55:31.0,05:18.0,3,W911 
15087954,DSRDJU,DISORDERLY JUVENILES,SPD ,1S22  ,58:59.0,40:29.0,44:38.0,07:02.0,4,PHONE
15087957,SUISUB,SUICIDAL SUBJECT,SPD ,      ,07:06.0,NULL,NULL,NULL,3,E911 
15087977,PERSTP,PERSON STOP,SPD ,3S12  ,32:48.0,32:48.0,32:48.0,38:13.0,6,SELF 
15087991,SUSPSU,SUSPICIOUS SUBJECT,SPD ,1S18  ,23:53.0,25:25.0,28:09.0,45:26.0,3,PHONE
15087995,PROWLR,CRIMINAL TRESPASS,SPD ,1S11  ,38:09.0,45:43.0,48:01.0,53:17.0,3,E911 
15087999,WARSER,WARRANT SERVICE,SPD ,SP076 ,53:22.0,59:34.0,59:34.0,59:45.0,4,PHONE
15088001,TRFSTP,TRAFFIC STOP,SPD ,1S22  ,06:32.0,06:32.0,06:32.0,10:30.0,6,SELF 
15088005,PERSTP,PERSON STOP,SPD ,1S20  ,45:21.0,45:22.0,45:22.0,48:59.0,6,SELF 
15088009,TRAN  ,TRANSPORT,SPD ,1S22  ,20:59.0,49:47.0,49:47.0,27:23.0,5,PHONE
15088014,PERSTP,PERSON STOP,SPD ,1S11  ,41:02.0,41:02.0,41:02.0,51:25.0,6,SELF 
15088025,PERSTP,PERSON STOP,SPD ,1S11  ,41:00.0,41:01.0,41:01.0,44:41.0,6,SELF 
15088033,IPN   ,IN POSSESSION OF NARCOTICS,SPD ,2S11  ,21:01.0,45:05.0,NULL,53:51.0,4,PHONE
15088036,DISVEH,DISABLED VEHICLE,SPD ,5C4   ,39:21.0,47:37.0,53:33.0,35:45.0,4,PHONE
15088087,CHKWLF,CHECK WELFARE,SPD ,3J81  ,33:23.0,39:05.0,44:28.0,26:56.0,4,PHONE
15088091,TRFSTP,DISABLED VEHICLE,SPD ,2S22  ,36:06.0,36:06.0,36:06.0,37:38.0,6,SELF 
15088092,ILGLCA,ILLEGAL CAMPING,SPD ,      ,36:38.0,NULL,NULL,NULL,5,PHONE
15088095,DISVEH,DISABLED VEHICLE,SPD ,2S20  ,45:11.0,45:11.0,45:11.0,45:34.0,4,SELF 
15088096,HARAS ,HARASSMENT,SPD ,2S22  ,45:52.0,49:31.0,53:57.0,28:59.0,3,PHONE
15088125,HARAS ,HARASSMENT,SPD ,2S11  ,33:27.0,48:26.0,54:27.0,49:20.0,3,PHONE
15107660,THFTVE,THEFT FROM VEHICLE,SPD ,SP687 ,47:00.0,53:19.0,53:19.0,55:16.0,8,PHONE
15107679,TRFSTP,DWS,SPD ,2M3   ,10:37.0,10:37.0,10:37.0,37:00.0,4,SELF 
15107681,GRAFIT,GRAFFITI,SPD ,5C2   ,13:18.0,36:53.0,46:15.0,03:44.0,8,PHONE
15107682,FRAUD ,FRAUD,SPD ,SP687 ,14:16.0,16:24.0,16:24.0,25:08.0,9,PHONE
15107710,THEFT ,THEFT,SPD ,2S11  ,59:00.0,00:24.0,03:34.0,15:33.0,4,E911 
15107713,VIORST,VIOLATION OF RESTRAINING ORDER,SPD ,3S11  ,00:52.0,42:39.0,10:04.0,26:42.0,4,PHONE
15107721,THEFT ,THEFT,SPD ,SP687 ,07:04.0,10:00.0,10:00.0,10:31.0,9,PHONE
15107772,MVAUNK,MOTOR VEH ACC UNKNOWN INJ,SPD ,2M1   ,13:13.0,13:39.0,16:17.0,32:44.0,3,E911 
15107775,THEFT ,THEFT,SPD ,SP655 ,14:49.0,24:39.0,24:39.0,25:12.0,9,PHONE
15107865,TRSPS ,BURGLARY,SPD ,3S13  ,58:59.0,43:04.0,47:44.0,25:38.0,4,PHONE
15107879,CRMSCH,CRIMINAL MISCHIEF,SPD ,SP084 ,17:16.0,18:53.0,18:53.0,19:09.0,9,PHONE
15107939,DSRDSU,DISORDERLY SUBJECT,SPD ,3S13  ,20:12.0,27:34.0,27:43.0,38:31.0,3,W911 
15108011,MVAINJ,MOTOR VEH ACC INJURY,SPD ,3S21  ,01:58.0,02:46.0,06:05.0,23:11.0,3,W911 
15108015,HARAS ,HARASSMENT,SPD ,3S11  ,09:13.0,19:23.0,30:29.0,20:15.0,4,PHONE
15108027,INTXSU,INTOXICATED SUBJECT,SPD ,3S13  ,34:14.0,55:11.0,04:19.0,07:21.0,3,PHONE
15108043,UNKNPR,ASSAULT,SPD ,3S22  ,59:59.0,24:50.0,37:31.0,10:51.0,3,E911 
15108070,DSPUT ,DISPUTE,SPD ,3S11  ,35:32.0,52:11.0,57:24.0,08:07.0,3,PHONE
15108095,SUISUB,SUICIDAL SUBJECT,SPD ,3S22  ,20:36.0,27:50.0,35:10.0,47:38.0,3,W911 
15108098,DSPUT ,DISPUTE,SPD ,3S21  ,25:48.0,39:19.0,47:53.0,10:26.0,3,W911 
15108159,THEFT ,THEFT,SPD ,SP693 ,02:41.0,04:03.0,04:03.0,08:48.0,9,PHONE
15108168,SUSPCO,CHECK WELFARE,SPD ,1S18  ,31:13.0,08:53.0,NULL,08:53.0,4,E911 
15108191,LOUDCN,LOUD CONSTRUCTION,SPD ,1S11  ,20:06.0,11:37.0,11:37.0,15:05.0,5,PHONE
15108221,TRFSTP,TRAFFIC STOP,SPD ,1S21  ,36:11.0,36:11.0,36:11.0,37:18.0,6,SELF 
15108231,SUSPVE,SUSPICIOUS VEHICLE,SPD ,1S11  ,09:28.0,13:31.0,17:13.0,06:36.0,3,PHONE
15108246,MENTRA,MENTAL TRANSPORT,SPD ,1S18  ,56:06.0,02:32.0,04:26.0,33:23.0,4,PHONE
15108299,ASTOUT,ASSIST OUTSIDE AGENCY,SPD ,1S20  ,04:36.0,05:51.0,12:42.0,45:09.0,4,PHONE
15108325,DSPUT ,DISPUTE,SPD ,2S11  ,28:01.0,30:21.0,35:31.0,45:51.0,3,PHONE
15108342,THFTBK,THEFT OF BICYCLE,SPD ,SP687 ,55:15.0,59:07.0,59:07.0,00:27.0,9,PHONE
15108471,THEFT ,THEFT,SPD ,4S45  ,12:10.0,13:35.0,NULL,13:47.0,4,PHONE
15108483,THEFT ,THEFT,SPD ,SP687 ,20:21.0,21:07.0,21:07.0,22:20.0,9,PHONE
15108492,THEFT ,THEFT,SPD ,SP687 ,58:02.0,03:12.0,03:12.0,04:10.0,9,PHONE
15108497,TRSPS ,DETOXIFICATION,SPD ,2S12  ,01:30.0,10:25.0,13:50.0,14:40.0,3,PHONE
15108506,IPN   ,IN POSSESSION OF NARCOTICS,SPD ,SP289 ,12:33.0,12:33.0,12:33.0,16:24.0,4,SELF 
15108525,THEFT ,THEFT,SPD ,5C4   ,34:15.0,50:43.0,08:37.0,32:16.0,8,PHONE
15108544,THFTML,THEFT OF MAIL,SPD ,SP692 ,04:31.0,08:03.0,08:03.0,10:45.0,9,PHONE
15108556,CHKWLF,CHECK WELFARE,SPD ,3J81  ,13:13.0,22:43.0,42:54.0,57:19.0,3,W911 
15108562,FNDPRO,FOUND PROPERTY,SPD ,5C2   ,20:40.0,22:58.0,37:27.0,57:59.0,5,PHONE
15108584,FNDPRO,FOUND PROPERTY,SPD ,SP655 ,46:04.0,48:43.0,48:43.0,57:56.0,9,PHONE
15108646,MVAUNK,MOTOR VEH ACC UNKNOWN INJ,SPD ,2S22  ,59:44.0,00:08.0,02:15.0,30:48.0,3,PHONE
15108668,OD    ,OVERDOSE,SPD ,3S11  ,33:57.0,39:34.0,42:10.0,50:46.0,3,W911 
15108733,SEXAB ,SEX ABUSE,SPD ,3S21  ,13:54.0,19:23.0,31:11.0,41:21.0,5,PHONE
15108744,TRFSTP,DWS,SPD ,3S11  ,24:37.0,24:37.0,24:37.0,09:52.0,4,SELF 
15108760,CHKWLF,CHECK WELFARE,SPD ,3J81  ,42:29.0,12:06.0,21:40.0,23:02.0,7,PHONE
15108773,HR    ,HIT AND RUN,SPD ,5C6   ,53:34.0,56:58.0,05:49.0,31:29.0,8,PHONE
15108775,CHKWLF,CHECK WELFARE,SPD ,3S22  ,57:33.0,24:19.0,24:22.0,33:30.0,4,PHONE
15108815,CHKWLF,CHECK WELFARE,SPD ,3S12  ,53:29.0,29:39.0,37:40.0,01:33.0,4,E911 
15108822,DSPUT ,DISPUTE,SPD ,3S23  ,00:06.0,13:30.0,19:33.0,31:13.0,3,E911 
15108911,TRSPS ,CRIMINAL TRESPASS,SPD ,3S12  ,18:49.0,23:41.0,26:45.0,41:57.0,3,E911 
15108912,DSPUT ,DISPUTE,SPD ,3S23  ,19:33.0,25:08.0,30:07.0,46:11.0,3,PHONE
15108935,TRFSTP,TRAFFIC STOP,SPD ,3S22  ,49:58.0,49:58.0,49:58.0,54:49.0,6,SELF 
15108968,HARAS ,HARASSMENT,SPD ,1S19  ,22:30.0,30:58.0,36:06.0,49:22.0,3,PHONE
15109009,BURG  ,BURGLARY,SPD ,1S11  ,20:10.0,21:29.0,24:51.0,44:55.0,3,W911 
15043287,TRFSTP,WARRANT SERVICE,SPD ,3S12  ,52:09.0,52:09.0,52:09.0,18:45.0,6,SELF 
15043314,UUV   ,UNAUTHORIZED USE OF VEHICLE,SPD ,5C6   ,21:23.0,26:59.0,37:13.0,02:12.0,8,PHONE
15043329,FNDSYR,FOUND SYRINGE,SPD ,      ,43:56.0,NULL,NULL,NULL,9,PHONE
15043334,FNDPRO,FOUND PROPERTY,SPD ,5C6   ,51:15.0,15:09.0,26:15.0,30:30.0,8,PHONE
15043355,DSPTFM,DISPUTE FAMILY,SPD ,3S11  ,19:32.0,46:49.0,54:20.0,09:04.0,4,W911 
15043357,CRMSCH,CRIMINAL MISCHIEF,SPD ,      ,20:54.0,13:43.0,NULL,NULL,4,PHONE
15043385,PRKVIO,PARKING VIOLATION,SPD ,5C6   ,08:39.0,55:10.0,02:39.0,12:19.0,8,PHONE
15043388,HARAS ,HARASSMENT,SPD ,      ,21:26.0,NULL,NULL,NULL,9,PHONE
15043403,TRFSTP,DUII,SPD ,3S21  ,59:15.0,59:15.0,59:15.0,57:46.0,4,SELF 
15043421,TRSPS ,CRIMINAL TRESPASS,SPD ,3S22  ,50:28.0,56:28.0,57:38.0,11:56.0,3,PHONE
15043428,CHKWLF,CHECK WELFARE,SPD ,3S11  ,29:02.0,36:46.0,42:46.0,02:27.0,4,PHONE
